what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1348813828487
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1348813829792
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1348813830926
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1348813850788
started,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.201002161416,"org.eclipse.cdt.debug.mi.ui",1348813856187
started,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.201002161416,"org.eclipse.cdt.debug.mi.core",1348813856216
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1348813856463
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1348813907045
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1348813909261
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1348813913629
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1348813915276
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1348813952334
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1348813961585
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1348813969296
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1348814016050
started,bundle,org.eclipse.pde.api.tools,1.0.101.v20090714,"org.eclipse.pde.api.tools",1348814026584
started,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1348814026588
started,bundle,org.eclipse.mylyn.java.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.ui",1348814026606
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1348814027274
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1348814028020
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1348814030213
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1348814045755
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordPrevious",1348814046799
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordPrevious",1348814046996
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordPrevious",1348814047196
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordPrevious",1348814047539
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordPrevious",1348814047988
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1348814049060
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1348814054198
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1348814057527
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1348814060427
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1348814063767
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1348814063836
started,bundle,org.eclipse.emf.common,2.5.0.v200906151043,"org.eclipse.emf.common",1348814063894
started,bundle,org.eclipse.emf.ecore,2.5.0.v200906151043,"org.eclipse.emf.ecore",1348814063940
started,bundle,org.eclipse.jem.util,2.0.201.v201001252130,"org.eclipse.jem.util",1348814063940
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1348814063944
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1348814063960
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v200906151043,"org.eclipse.emf.ecore.xmi",1348814063987
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1348814063989
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1348814063993
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v201001252130,"org.eclipse.wst.common.modulecore",1348814064951
error,log,,,"Project facet jst.web has not been defined. It is used in plugin org.eclipse.wst.jsdt.web.core.",1348814065126
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1348814065498
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1348814078288
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1348814084464
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348814086156
